run_id,method,check_name,healthy_value,damaged_value,match
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,constraints,"[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]","[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,index:usertable_pkey,"""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""","""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,index:usertable_merkle_idx,"""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""","""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,index:usertable_merkle_partition_lookup_idx,"""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""","""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,columns,"[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]","[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,constraints,"[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]","[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,index:usertable_pkey,"""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""","""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,index:usertable_merkle_idx,"""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""","""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,index:usertable_merkle_partition_lookup_idx,"""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""","""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,columns,"[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]","[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,constraints,"[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]","[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,index:usertable_pkey,"""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""","""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,index:usertable_merkle_idx,"""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""","""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,index:usertable_merkle_partition_lookup_idx,"""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""","""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,columns,"[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]","[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,constraints,"[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]","[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,index:usertable_pkey,"""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""","""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,index:usertable_merkle_idx,"""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""","""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,index:usertable_merkle_partition_lookup_idx,"""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""","""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,columns,"[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]","[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,constraints,"[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]","[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,index:usertable_pkey,"""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""","""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,index:usertable_merkle_idx,"""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""","""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""",1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,index:usertable_merkle_partition_lookup_idx,"""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""","""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""",1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,columns,"[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]","[{""column_default"": null, ""column_name"": ""ycsb_key"", ""data_type"": ""bigint"", ""is_nullable"": ""NO"", ""ordinal_position"": 1, ""udt_name"": ""int8""}, {""column_default"": null, ""column_name"": ""field0"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 2, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field1"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 3, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field2"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 4, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field3"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 5, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field4"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 6, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field5"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 7, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field6"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 8, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field7"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 9, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field8"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 10, ""udt_name"": ""text""}, {""column_default"": null, ""column_name"": ""field9"", ""data_type"": ""text"", ""is_nullable"": ""NO"", ""ordinal_position"": 11, ""udt_name"": ""text""}]",1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,constraints,"[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]","[{""contype"": ""p"", ""def"": ""PRIMARY KEY (ycsb_key)""}]",1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,index:usertable_pkey,"""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""","""CREATE UNIQUE INDEX usertable_pkey ON <schema>.usertable USING btree (ycsb_key)""",1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,index:usertable_merkle_idx,"""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""","""CREATE INDEX usertable_merkle_idx ON <schema>.usertable USING merkle (ycsb_key) WITH (split_threshold='32', merge_threshold='8', fanout='32', partitions='200')""",1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,index:usertable_merkle_partition_lookup_idx,"""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""","""CREATE INDEX usertable_merkle_partition_lookup_idx ON <schema>.usertable USING btree (merkle_partition_for_hash(merkle_key_hash(ycsb_key), 200), merkle_key_hash(ycsb_key), ycsb_key)""",1
